artist_id,artist_name,country,genre,formed_year,still_active
1,Neon Harbour,Netherlands,Electronic,2014,1
2,The Paper Kites Society,Australia,Indie,2009,1
3,Marta Oliveira,Portugal,Jazz,2016,1
4,Glass Tram,Germany,Electronic,2018,1
5,Rosewood Lane,United Kingdom,Folk,2011,0
6,Kito Ndungu,Kenya,Afrobeat,2019,1
7,The Quiet Wires,United States,Rock,2004,0
8,Sara Lindqvist,Sweden,Pop,2020,1
9,Basement Cartography,Canada,Indie,2013,1
10,Orquesta Bellavista,Colombia,Latin,1998,1
11,Hollow Pines,United States,Folk,2015,1
12,DJ Kompas,Netherlands,Electronic,2021,1
13,Yuki Tanaka Trio,Japan,Jazz,2007,1
14,Velvet Aqueduct,Italy,Rock,2012,0
15,Amara Diallo,Senegal,Afrobeat,2017,1
16,Northern Signal,Norway,Electronic,2016,1
17,The Tuesday Club,United Kingdom,Pop,2019,1
18,Cassette Revival,France,Indie,2010,0
19,Luz de Enero,Spain,Latin,2014,1
20,Brannon Hill,Ireland,Folk,2008,1
21,Static Meadow,United States,Rock,2018,1
22,Mireille Basset,France,Jazz,2011,1
23,Kanto Kids,Philippines,Pop,2022,1
24,Iron Fernway,United Kingdom,Rock,1996,0
25,Selva Alta,Peru,Latin,2015,1
26,Hertz Garden,Germany,Electronic,2020,1
27,The Long Commute,Netherlands,Indie,2017,1
28,Odessa Brass,Ukraine,Jazz,2013,1
29,Pale Cartography,Canada,Folk,2021,1
30,Mango Static,Brazil,Latin,2019,1
31,Circuit Sparrow,Japan,Electronic,2015,1
32,Nora Whitlock,United States,Pop,2018,1
33,Gravel Choir,Australia,Rock,2006,0
34,Lagos Tape Club,Nigeria,Afrobeat,2020,1
35,Fjord & Flint,Norway,Folk,2012,1
36,Salon Mécanique,Belgium,Jazz,2009,1
37,Bright Utility,United Kingdom,Indie,2023,1
38,Casa Tropicana,Cuba,Latin,2001,1
39,Tundra Post,Iceland,Electronic,2019,1
40,The Slow Ferry,Ireland,Indie,2016,1
