award_id,artist_id,award_name,year
1,1,Producer's Choice,2016
2,1,Festival Headline Award,2019
3,1,Producer's Choice,2017
4,2,Critics Circle Album,2018
5,4,Newcomer of the Year,2019
6,4,Festival Headline Award,2024
7,5,National Music Prize,2023
8,7,Best Live Act,2023
9,7,Critics Circle Album,2017
10,7,Best Live Act,2016
11,12,Critics Circle Album,2024
12,17,Festival Headline Award,2017
13,20,National Music Prize,2025
14,20,Producer's Choice,2015
15,20,Critics Circle Album,2015
16,25,National Music Prize,2025
17,25,Best Live Act,2024
18,25,Newcomer of the Year,2021
19,28,Best Live Act,2024
20,28,Festival Headline Award,2020
21,29,Festival Headline Award,2022
22,29,Critics Circle Album,2025
23,31,Producer's Choice,2023
24,35,Festival Headline Award,2015
25,35,Newcomer of the Year,2015
26,35,Producer's Choice,2018
27,36,Best Live Act,2015
28,38,Newcomer of the Year,2018
29,39,Festival Headline Award,2025
30,39,Festival Headline Award,2016
31,39,Best Live Act,2024
32,40,Producer's Choice,2023
33,40,Critics Circle Album,2025
