play_id,played_at,artist_name,track_name,genre,country,minutes_played,device,skipped
1,2024-01-01,Fjord & Flint,Golden Garden,Folk,Norway,4.65,phone,0
2,2024-01-01,Basement Cartography,Summer Season,Indie,Canada,2.42,laptop,0
3,2024-01-01,Fjord & Flint,Golden Garden,Folk,Norway,0.51,laptop,0
4,2024-01-01,DJ Kompas,Paper Signal,Electronic,Netherlands,4.42,phone,0
5,2024-01-01,Basement Cartography,Summer Season,Indie,Canada,2.16,laptop,0
6,2024-01-01,Luz de Enero,Northern Ferry,Latin,Spain,2.4,phone,0
7,2024-01-02,Sara Lindqvist,Electric Weather,Pop,Sweden,2.91,speaker,0
8,2024-01-02,The Quiet Wires,Northern Tape,Rock,United States,6.03,tablet,0
9,2024-01-02,Fjord & Flint,Blue Traffic,Folk,Norway,5.19,laptop,0
10,2024-01-02,Brannon Hill,Northern Machines,Folk,Ireland,2.62,laptop,0
11,2024-01-03,DJ Kompas,Midnight Weather,Electronic,Netherlands,4.3,phone,0
12,2024-01-03,The Slow Ferry,Amber Mornings,Indie,Ireland,0.4,phone,1
13,2024-01-03,Glass Tram,Broken Lines,Electronic,Germany,10.77,speaker,0
14,2024-01-03,Orquesta Bellavista,Velvet Garden,Latin,Colombia,2.88,speaker,0
15,2024-01-04,Lagos Tape Club,Velvet Avenue,Afrobeat,Nigeria,3.33,tablet,0
16,2024-01-04,The Tuesday Club,Northern Ferry,Pop,United Kingdom,4.86,laptop,0
17,2024-01-04,Glass Tram,Amber Ferry,Electronic,Germany,7.93,laptop,0
18,2024-01-04,Sara Lindqvist,Summer Tape,Pop,Sweden,5.09,phone,0
19,2024-01-05,Kanto Kids,Broken Weather,Pop,Philippines,2.88,phone,0
20,2024-01-05,Lagos Tape Club,Hollow Ferry,Afrobeat,Nigeria,3.8,phone,0
21,2024-01-05,Yuki Tanaka Trio,Northern Lines,Jazz,Japan,9.19,phone,0
22,2024-01-05,Fjord & Flint,Midnight Kitchen,Folk,Norway,4.88,speaker,0
23,2024-01-06,Brannon Hill,Quiet Ferry,Folk,Ireland,5.77,phone,0
24,2024-01-06,Pale Cartography,Winter Weather,Folk,Canada,4.1,phone,0
25,2024-01-06,Luz de Enero,Northern Ferry,Latin,Spain,2.59,phone,0
26,2024-01-07,Glass Tram,Broken Mornings,Electronic,Germany,7.95,phone,0
27,2024-01-07,Sara Lindqvist,Broken Kitchen,Pop,Sweden,0.81,phone,1
28,2024-01-07,Marta Oliveira,Static Wires,Jazz,Portugal,6.06,phone,0
29,2024-01-07,Fjord & Flint,Open Orbit,Folk,Norway,4.12,phone,0
30,2024-01-07,Glass Tram,Broken Lines,Electronic,Germany,3.73,phone,0
31,2024-01-07,Fjord & Flint,Open Orbit,Folk,Norway,2.75,speaker,0
32,2024-01-07,Sara Lindqvist,Slow Mornings,Pop,Sweden,3.15,car,0
33,2024-01-08,Casa Tropicana,Hollow Tape,Latin,Cuba,0.5,speaker,1
34,2024-01-09,Sara Lindqvist,Quiet Harbour,Pop,Sweden,3.92,phone,0
35,2024-01-09,Hertz Garden,Broken Kitchen,Electronic,Germany,3.4,tablet,0
36,2024-01-10,Nora Whitlock,Bright Garden,Pop,United States,2.87,phone,0
37,2024-01-10,The Paper Kites Society,Electric Lines,Indie,Australia,3.72,speaker,0
38,2024-01-10,Sara Lindqvist,Summer Tape,Pop,Sweden,3.56,laptop,0
39,2024-01-11,Glass Tram,Broken Mornings,Electronic,Germany,6.36,speaker,0
40,2024-01-11,Glass Tram,Broken Lines,Electronic,Germany,5.94,laptop,0
41,2024-01-12,Glass Tram,Salt Lines,Electronic,Germany,3.65,phone,0
42,2024-01-12,Fjord & Flint,Summer Wires,Folk,Norway,3.3,laptop,0
43,2024-01-12,Sara Lindqvist,Summer Tape,Pop,Sweden,0.41,phone,1
44,2024-01-13,Sara Lindqvist,Slow Mornings,Pop,Sweden,2.84,laptop,0
45,2024-01-13,Lagos Tape Club,Velvet Avenue,Afrobeat,Nigeria,2.84,laptop,0
46,2024-01-13,Northern Signal,Electric Avenue,Electronic,Norway,5.15,speaker,0
47,2024-01-13,The Slow Ferry,Amber Garden,Indie,Ireland,4.54,speaker,0
48,2024-01-13,Basement Cartography,Blue Traffic,Indie,Canada,0.57,speaker,1
49,2024-01-13,Luz de Enero,Static Machines,Latin,Spain,1.4,phone,0
50,2024-01-13,Sara Lindqvist,Broken Kitchen,Pop,Sweden,4.66,phone,0
51,2024-01-13,The Long Commute,Golden Radio,Indie,Netherlands,3.83,phone,0
52,2024-01-14,Sara Lindqvist,Midnight Orbit,Pop,Sweden,0.25,laptop,1
53,2024-01-14,Static Meadow,Winter Mornings,Rock,United States,6.31,phone,0
54,2024-01-14,The Paper Kites Society,Slow Rooms,Indie,Australia,2.28,phone,0
55,2024-01-15,Brannon Hill,Electric Parade,Folk,Ireland,2.04,phone,0
56,2024-01-15,Pale Cartography,Blue Signal,Folk,Canada,2.86,phone,0
57,2024-01-15,Glass Tram,Broken Lines,Electronic,Germany,7.49,phone,0
58,2024-01-15,Rosewood Lane,Slow Rooms,Folk,United Kingdom,4.72,phone,0
59,2024-01-16,Sara Lindqvist,Electric Weather,Pop,Sweden,3.79,phone,0
60,2024-01-16,Mireille Basset,Midnight Traffic,Jazz,France,6.73,phone,0
61,2024-01-16,Marta Oliveira,Electric Mornings,Jazz,Portugal,9.44,speaker,0
62,2024-01-16,Basement Cartography,Blue Mornings,Indie,Canada,4.9,phone,0
63,2024-01-16,Fjord & Flint,Blue Ferry,Folk,Norway,2.86,phone,0
64,2024-01-16,Fjord & Flint,Open Orbit,Folk,Norway,3.84,car,0
65,2024-01-17,DJ Kompas,Paper Rooms,Electronic,Netherlands,6.36,phone,0
66,2024-01-17,Casa Tropicana,Paper Orbit,Latin,Cuba,3.87,laptop,0
67,2024-01-17,Basement Cartography,Iron Traffic,Indie,Canada,3.2,tablet,0
68,2024-01-17,Sara Lindqvist,Midnight Orbit,Pop,Sweden,4.99,speaker,0
69,2024-01-18,Static Meadow,Amber Tape,Rock,United States,4.71,phone,0
70,2024-01-18,Sara Lindqvist,Midnight Orbit,Pop,Sweden,2.71,speaker,0
