play_id,played_at,artist_name,track_name,genre,country,device,skipped,minutes played 
2158,25-12-2025,Northern Signal,Amber Lines,Electronic,Norway,PHONE,0,6.36
1738,2025-08-16,Basement Cartography,Summer Season,INDIE,Canada,speaker,0,1.56
90,2024-01-23,DJ Kompas,Electric Mornings,  Electronic ,Netherlands,phone,0,4.71
2164,2025-12-26,Sara Lindqvist,Midnight Orbit,POP,Sweden,car,1,0.70
1214,2025-01-28,Selva Alta,Harbour Lines,LATIN,Peru,SPEAKER,0,5.0
677,16/08/2024,The Paper Kites Society,Hollow Letters,Indie,Australia,laptop,1,0.21
1938,2025-10-28,Basement Cartography,Broken Kitchen,Indie,Canada,laptop,0,2.27
1302,03/03/2025,The Slow Ferry,Velvet Season,Indie,Ireland,phone,0,4.52
1775,2025-09-06,DJ Kompas,Bright Ferry,Electronic,Netherlands,laptop,1,1.7
306,2024-03-28,Nora Whitlock,Northern Rooms,Pop,United States,phone,0,2.86
665,2024-08-12,Sara Lindqvist,Slow Mornings,Pop,Sweden,speaker,0,6.25
990,2024-11-17,Fjord & Flint,Broken Radio,FOLK,Norway,phone ,0,4.22
935,2024-10-31,DJ Kompas,Hollow Radio,ELECTRONIC,Netherlands,car,0,5.28
2056,2025-11-26,Fjord & Flint,Summer Wires,Folk,Norway,phone,1,0.46
1250,2025-02-09,Sara Lindqvist,Electric Weather,Pop,Sweden,speaker,0,3.38
1521,2025-05-11,Bright Utility,Broken Machines,Indie,United Kingdom,speaker ,0,2.69
1203,2025-01-25,The Quiet Wires,Open Mornings,rock,United States,laptop,0,4.2
369,2024-04-18,Lagos Tape Club,Velvet Avenue,AFROBEAT,Nigeria,phone,0,5.99
871,2024-10-17,DJ Kompas,Harbour Kitchen,ELECTRONIC,Netherlands,speaker ,0,9.42
2029,2025-11-19,Glass Tram,Salt Lines,Electronic,Germany,phone,0,6.91 min
616,2024-07-19,DJ Kompas,Golden Weather,Electronic,Netherlands,PHONE,0,3.81
1764,03/09/2025,Lagos Tape Club,Hollow Ferry,AFROBEAT,Nigeria,phone,1,0.23
670,2024-08-13,Sara Lindqvist,Electric Weather,pop,Sweden,laptop,0,3.91
358,2024-04-14,Glass Tram,Broken Mornings,ELECTRONIC,Germany,laptop,0,5.16
1424,2025-04-12,DJ Kompas,Bright Ferry,ELECTRONIC,Netherlands,phone,0,4.51 min
1862,2025-10-05,Sara Lindqvist,Summer Tape,Pop,Sweden,phone,0,4.43
1580,2025-05-29,Glass Tram,Broken Lines,Electronic,Germany,car,0,5.56
1265,2025-02-14,Sara Lindqvist,Quiet Harbour,pop,Sweden,phone,0,4.47
435,2024-05-09,Yuki Tanaka Trio,Golden Machines,Jazz,Japan,phone,0,5.56
2008,2025-11-14,The Tuesday Club,Paper Season,Pop,United Kingdom,phone ,0,3.29
1410,03-04-2025,The Quiet Wires,Northern Tape,rock,United States,speaker,0,6.42
1790,09/09/2025,Northern Signal,Electric Avenue,Electronic,Norway,SPEAKER,0,1.25
130,2024-02-04,Fjord & Flint,Blue Avenue,folk,Norway,PHONE,0,3.08 min
857,2024-10-13,Static Meadow,Salt Mornings,Rock,United States,LAPTOP,0,3.23
1282,2025-02-22,Northern Signal,Amber Lines,Electronic,Norway,tablet,1,1.24
1882,2025-10-13,The Slow Ferry,Amber Garden,Indie,Ireland,speaker,1,1.44
1047,2024-12-05,The Long Commute,Amber Kitchen,Indie,Netherlands,speaker,0,4.4
